group,kind,n,p10,p25,p50,p75,p90,p99,max,mean
#1591,binary,33499,15.00,21.00,39.00,101.00,200.00,1200.00,16013.00,101.67
#1610,bucket,1210,13.00,17.00,27.00,58.75,124.20,880.64,1352.00,63.67
#1640,binary,36840,16.00,21.00,29.00,70.00,125.00,742.61,10507.00,70.65
#1670,bucket,117,13.00,19.00,58.00,115.00,226.00,765.00,947.00,106.94
#2200,binary,19973,18.00,24.00,39.00,109.00,200.00,1096.28,13623.00,112.64
#2230,bucket,124,21.60,38.50,57.50,108.00,249.90,681.81,740.00,107.27
#2250,binary,20396,17.00,24.00,50.00,104.00,169.00,931.05,18093.00,106.35
#2280,bucket,83,5.00,14.50,25.00,56.00,238.40,307.00,307.00,61.96
ALL_binary,binary,110708,16.00,21.00,35.00,100.00,166.00,921.86,18093.00,94.19
ALL_bucket,bucket,1534,13.00,17.00,31.00,68.00,142.00,765.00,1352.00,70.40
ALL,,112242,16.00,21.00,35.00,100.00,166.00,919.00,18093.00,93.86
