slot,leg,kind,side,ts_ns,n_prints,filled,limit_px,decision_ts_ns,best_bid,best_ask,width,width_bucket,disp_top,disp_at_limit,ratio_top,ratio_at_limit
v1,#1610,bucket,buy,1780719546187000000,1,305.0000,0.982480,1780719545839000000,0.891110,0.982480,0.091370,mid,326.0000,326.0000,0.935583,0.935583
v1,#2200,binary,buy,1780891502371000000,2,303.0000,0.989840,1780891502243000000,0.987000,0.989830,0.002830,tight,21.0000,3113.0000,14.428571,0.097334
v1,#2230,bucket,buy,1780896220726000000,1,306.0000,0.979990,1780896220460000000,0.860010,0.979990,0.119980,wide,1000.0000,1000.0000,0.306000,0.306000
v1,#2250,binary,buy,1780981041541000000,2,310.0000,0.964460,1780981041064000000,0.960400,0.964450,0.004050,tight,28.0000,679.0000,11.071429,0.456554
v1,#2280,bucket,buy,1780964105842000000,2,52.0000,0.920000,1780964105581000000,0.850010,0.920000,0.069990,mid,26.0000,26.0000,2.000000,2.000000
v1,#2280,bucket,buy,1780964107822000000,2,552.0000,0.928490,1780964107673000000,0.850010,0.992490,0.142480,wide,66577.0000,0.0000,0.008291,
v31,#1591,binary,buy,1780690291984000000,1,150.0000,0.850900,1780690291918000000,0.850000,0.850900,0.000900,tight,150.0000,150.0000,1.000000,1.000000
v31,#1591,binary,buy,1780690293054000000,1,59.0000,0.856290,1780690292988000000,0.850000,0.856290,0.006290,tight,59.0000,59.0000,1.000000,1.000000
v31,#1591,binary,buy,1780690294094000000,2,114.0000,0.857990,1780690293529000000,0.850000,0.857990,0.007990,tight,40.0000,40.0000,2.850000,2.850000
v31,#1591,binary,buy,1780690295105000000,1,40.0000,0.858990,1780690294627000000,0.850000,0.858990,0.008990,tight,40.0000,40.0000,1.000000,1.000000
v31,#1591,binary,sell,1780690296164000000,1,363.0000,0.850000,1780690295704000000,0.850000,0.859990,0.009990,tight,2057.0000,2057.0000,0.176471,0.176471
v31,#1591,binary,buy,1780690381320000000,1,406.0000,0.853000,1780690381207000000,0.849500,0.853000,0.003500,tight,406.0000,406.0000,1.000000,1.000000
v31,#1591,binary,buy,1780690383497000000,1,178.0000,0.855000,1780690383365000000,0.847880,0.855000,0.007120,tight,840.0000,840.0000,0.211905,0.211905
v31,#1591,binary,sell,1780690385495000000,2,153.0000,0.843500,1780690384949000000,0.844510,0.855000,0.010490,tight,14.0000,154.0000,10.928571,0.993506
v31,#1591,binary,sell,1780690388987000000,1,200.0000,0.850000,1780690388856000000,0.850000,0.858940,0.008940,tight,200.0000,200.0000,1.000000,1.000000
v31,#1591,binary,sell,1780690390002000000,2,154.0000,0.844650,1780690389935000000,0.845500,0.855870,0.010370,tight,13.0000,154.0000,11.846154,1.000000
v31,#1591,binary,sell,1780690423500000000,1,77.0000,0.850000,1780690422990000000,0.850000,0.854990,0.004990,tight,200.0000,200.0000,0.385000,0.385000
v31,#1591,binary,buy,1780703850758000000,1,538.0000,0.928610,1780703850682000000,0.922810,0.928610,0.005800,tight,673.0000,673.0000,0.799406,0.799406
v31,#1591,binary,sell,1780704039921000000,1,538.0000,0.888580,1780704039685000000,0.891440,0.896240,0.004800,tight,601.0000,2884.0000,0.895175,0.186546
v31,#1591,binary,buy,1780705341625000000,1,42.0000,0.880000,1780705341220000000,0.875880,0.880000,0.004120,tight,42.0000,42.0000,1.000000,1.000000
v31,#1591,binary,buy,1780705348654000000,1,139.0000,0.886430,1780705348197000000,0.882120,0.886430,0.004310,tight,156.0000,156.0000,0.891026,0.891026
v31,#1591,binary,buy,1780705376263000000,1,159.0000,0.893190,1780705375994000000,0.886440,0.893190,0.006750,tight,159.0000,159.0000,1.000000,1.000000
v31,#1591,binary,buy,1780705386567000000,2,218.0000,0.894880,1780705386243000000,0.891410,0.894850,0.003440,tight,161.0000,320.0000,1.354037,0.681250
v31,#1591,binary,sell,1780706004526000000,1,148.0000,0.855570,1780706004334000000,0.855570,0.863790,0.008220,tight,148.0000,148.0000,1.000000,1.000000
v31,#1591,binary,sell,1780706005546000000,1,148.0000,0.855050,1780706005396000000,0.855050,0.862090,0.007040,tight,148.0000,148.0000,1.000000,1.000000
v31,#1591,binary,sell,1780706006793000000,1,143.0000,0.853450,1780706006462000000,0.853450,0.861680,0.008230,tight,143.0000,143.0000,1.000000,1.000000
v31,#1591,binary,sell,1780706007965000000,2,119.0000,0.853120,1780706007552000000,0.853120,0.860470,0.007350,tight,50.0000,50.0000,2.380000,2.380000
v31,#1591,binary,buy,1780708136800000000,1,152.0000,0.882200,1780708136442000000,0.873970,0.882200,0.008230,tight,152.0000,152.0000,1.000000,1.000000
v31,#1591,binary,buy,1780708138469000000,1,152.0000,0.882940,1780708138068000000,0.876990,0.882940,0.005950,tight,152.0000,152.0000,1.000000,1.000000
v31,#1591,binary,buy,1780708139376000000,2,257.0000,0.884750,1780708139148000000,0.878260,0.884630,0.006370,tight,153.0000,306.0000,1.679739,0.839869
v31,#1591,binary,sell,1780708388967000000,2,509.0000,0.909450,1780708388631000000,0.909460,0.912170,0.002710,tight,243.0000,509.0000,2.094650,1.000000
v31,#1591,binary,sell,1780708389985000000,1,52.0000,0.909470,1780708389676000000,0.909470,0.914650,0.005180,tight,165.0000,165.0000,0.315152,0.315152
v31,#1591,binary,buy,1780711520739000000,1,526.0000,0.950000,1780711520369000000,0.948540,0.950000,0.001460,tight,2629.0000,2629.0000,0.200076,0.200076
v31,#1591,binary,sell,1780711676847000000,2,475.0000,0.943010,1780711676514000000,0.943880,0.944980,0.001100,tight,378.0000,475.0000,1.256614,1.000000
v31,#1591,binary,sell,1780711677673000000,1,51.0000,0.943000,1780711677605000000,0.943000,0.944980,0.001980,tight,638.0000,638.0000,0.079937,0.079937
v31,#1591,binary,buy,1780714062922000000,1,516.0000,0.967490,1780714062512000000,0.961720,0.967490,0.005770,tight,1327.0000,1327.0000,0.388847,0.388847
v31,#1591,binary,sell,1780715254526000000,1,516.0000,0.983000,1780715254324000000,0.983000,0.987080,0.004080,tight,840.0000,840.0000,0.614286,0.614286
v31,#1610,bucket,buy,1780719506827000000,1,515.0000,0.969490,1780719506347000000,0.799740,0.969490,0.169750,wide,725.0000,725.0000,0.710345,0.710345
v31,#1610,bucket,sell,1780719721350000000,1,152.0000,0.891120,1780719721129000000,0.891120,nan,nan,unknown,152.0000,152.0000,1.000000,1.000000
v31,#1610,bucket,sell,1780719723691000000,2,203.0000,0.891110,1780719723321000000,0.891120,nan,nan,unknown,51.0000,203.0000,3.980392,1.000000
v31,#1610,bucket,sell,1780720086338000000,1,160.0000,0.871010,1780720085850000000,0.871010,nan,nan,unknown,377.0000,377.0000,0.424403,0.424403
v31,#1610,bucket,buy,1780725484925000000,1,2.0000,0.955790,1780725484392000000,0.735150,0.955790,0.220640,wide,2.0000,2.0000,1.000000,1.000000
v31,#1610,bucket,buy,1780725486008000000,1,18.0000,0.974200,1780725485451000000,0.735150,0.974200,0.239050,wide,18.0000,18.0000,1.000000,1.000000
v31,#1610,bucket,buy,1780725487116000000,1,18.0000,0.977890,1780725487055000000,0.735150,0.977890,0.242740,wide,18.0000,18.0000,1.000000,1.000000
v31,#1610,bucket,buy,1780725488117000000,1,19.0000,0.981570,1780725487584000000,0.735150,0.981570,0.246420,wide,19.0000,19.0000,1.000000,1.000000
v31,#1610,bucket,buy,1780725491491000000,1,19.0000,0.985260,1780725491422000000,0.735150,0.985260,0.250110,wide,19.0000,19.0000,1.000000,1.000000
v31,#1610,bucket,buy,1780725492904000000,1,430.0000,0.987490,1780725492496000000,0.735150,0.987490,0.252340,wide,840.0000,840.0000,0.511905,0.511905
v31,#1640,binary,buy,1780800533110000000,3,581.0000,0.857000,1780800532911000000,0.841270,0.856500,0.015230,tight,74.0000,1052.0000,7.851351,0.552281
v31,#1640,binary,sell,1780801262407000000,2,271.0000,0.860000,1780801262321000000,0.860000,0.861490,0.001490,tight,71.0000,71.0000,3.816901,3.816901
v31,#1640,binary,sell,1780801305220000000,1,50.0000,0.852420,1780801304815000000,0.852420,0.856500,0.004080,tight,50.0000,50.0000,1.000000,1.000000
v31,#1640,binary,sell,1780801306617000000,1,50.0000,0.852540,1780801306490000000,0.852540,0.859490,0.006950,tight,50.0000,50.0000,1.000000,1.000000
v31,#1640,binary,sell,1780801345539000000,3,210.0000,0.854370,1780801345403000000,0.854380,0.859490,0.005110,tight,101.0000,242.0000,2.079208,0.867769
v31,#1640,binary,buy,1780801766532000000,2,192.0000,0.875000,1780801765963000000,0.871020,0.875000,0.003980,tight,100.0000,100.0000,1.920000,1.920000
v31,#1640,binary,buy,1780801767633000000,2,375.0000,0.875000,1780801767139000000,0.865240,0.874990,0.009750,tight,120.0000,120.0000,3.125000,3.125000
v31,#1640,binary,sell,1780802387711000000,1,25.0000,0.943100,1780802387509000000,0.943100,0.946170,0.003070,tight,25.0000,25.0000,1.000000,1.000000
v31,#1640,binary,sell,1780802389744000000,1,542.0000,0.945580,1780802389651000000,0.945580,0.946270,0.000690,tight,621.0000,621.0000,0.872786,0.872786
v31,#1640,binary,buy,1780803492522000000,2,180.0000,0.928500,1780803492448000000,0.920000,0.928480,0.008480,tight,98.0000,180.0000,1.836735,1.000000
v31,#1640,binary,buy,1780803500602000000,2,357.0000,0.930000,1780803500132000000,0.920000,0.929750,0.009750,tight,189.0000,364.0000,1.888889,0.980769
v31,#1640,binary,sell,1780809524825000000,1,537.0000,0.998440,1780809524426000000,0.998440,0.999930,0.001490,tight,4000.0000,4000.0000,0.134250,0.134250
v31,#1670,bucket,sell,1780794531247000000,1,12.0000,0.919090,1780794530775000000,0.919090,0.962440,0.043350,mid,12.0000,12.0000,1.000000,1.000000
v31,#1670,bucket,sell,1780794533184000000,1,109.0000,0.918510,1780794532985000000,0.918510,0.962430,0.043920,mid,109.0000,109.0000,1.000000,1.000000
v31,#1670,bucket,sell,1780794534128000000,1,12.0000,0.918180,1780794533566000000,0.918180,0.962430,0.044250,mid,12.0000,12.0000,1.000000,1.000000
v31,#1670,bucket,sell,1780794534960000000,1,12.0000,0.917500,1780794534691000000,0.917500,0.962430,0.044930,mid,12.0000,12.0000,1.000000,1.000000
v31,#1670,bucket,sell,1780794535694000000,1,12.0000,0.917270,1780794535214000000,0.917270,0.962430,0.045160,mid,12.0000,12.0000,1.000000,1.000000
v31,#1670,bucket,sell,1780794536913000000,1,12.0000,0.916360,1780794536843000000,0.916360,0.962430,0.046070,mid,12.0000,12.0000,1.000000,1.000000
v31,#1670,bucket,sell,1780794538409000000,1,17.0000,0.915500,1780794537927000000,0.915500,0.962430,0.046930,mid,17.0000,17.0000,1.000000,1.000000
v31,#1670,bucket,sell,1780794539238000000,1,12.0000,0.915450,1780794539039000000,0.915450,0.962430,0.046980,mid,12.0000,12.0000,1.000000,1.000000
v31,#1670,bucket,sell,1780794539990000000,1,13.0000,0.914550,1780794539592000000,0.914550,0.962430,0.047880,mid,13.0000,13.0000,1.000000,1.000000
v31,#1670,bucket,sell,1780794540835000000,1,13.0000,0.913640,1780794540689000000,0.913640,0.962430,0.048790,mid,13.0000,13.0000,1.000000,1.000000
v31,#1670,bucket,sell,1780794542488000000,1,13.0000,0.912730,1780794542337000000,0.912730,0.962430,0.049700,mid,13.0000,13.0000,1.000000,1.000000
v31,#1670,bucket,sell,1780794543302000000,1,13.0000,0.911820,1780794542891000000,0.911820,0.962430,0.050610,mid,13.0000,13.0000,1.000000,1.000000
v31,#1670,bucket,sell,1780794544130000000,3,59.0000,0.910910,1780794543995000000,0.911500,0.962420,0.050920,mid,18.0000,31.0000,3.277778,1.903226
v31,#1670,bucket,sell,1780794545011000000,1,13.0000,0.910000,1780794544539000000,0.910000,0.962420,0.052420,mid,13.0000,13.0000,1.000000,1.000000
v31,#1670,bucket,sell,1780794545887000000,3,64.0000,0.909090,1780794545596000000,0.910510,0.962420,0.051910,mid,39.0000,64.0000,1.641026,1.000000
v31,#1670,bucket,sell,1780794547692000000,1,13.0000,0.908180,1780794547198000000,0.908180,0.962410,0.054230,mid,13.0000,13.0000,1.000000,1.000000
v31,#1670,bucket,sell,1780794548595000000,1,59.0000,0.907500,1780794548329000000,0.907270,0.962410,0.055140,mid,13.0000,0.0000,4.538462,
v31,#1670,bucket,sell,1780794549513000000,2,82.0000,0.907270,1780794549389000000,0.907500,0.962410,0.054910,mid,69.0000,82.0000,1.188406,1.000000
v31,#1670,bucket,sell,1780794556031000000,1,9.0000,0.906360,1780794555750000000,0.906360,0.962410,0.056050,mid,14.0000,14.0000,0.642857,0.642857
v31,#1670,bucket,buy,1780798706627000000,2,718.0000,0.949990,1780798706432000000,0.900070,0.949990,0.049920,mid,359.0000,359.0000,2.000000,2.000000
v31,#1670,bucket,buy,1780798707874000000,2,224.0000,0.950000,1780798707477000000,0.900090,0.950000,0.049910,mid,112.0000,112.0000,2.000000,2.000000
v31,#1670,bucket,sell,1780802393609000000,2,196.0000,0.710010,1780802393432000000,0.710010,0.963590,0.253580,wide,98.0000,98.0000,2.000000,2.000000
v31,#1670,bucket,sell,1780802394727000000,2,40.0000,0.710000,1780802394516000000,0.710000,0.963590,0.253590,wide,20.0000,20.0000,2.000000,2.000000
v31,#1670,bucket,sell,1780802395876000000,4,706.0000,0.667770,1780802395576000000,0.710010,0.963590,0.253580,wide,98.0000,741.0000,7.204082,0.952767
v31,#1670,bucket,buy,1780806224513000000,1,78.0000,0.963600,1780806224177000000,0.800000,0.963600,0.163600,wide,78.0000,78.0000,1.000000,1.000000
v31,#1670,bucket,sell,1780809483051000000,1,14.0000,0.656040,1780809482846000000,0.656040,0.962580,0.306540,wide,14.0000,14.0000,1.000000,1.000000
v31,#1670,bucket,sell,1780809484334000000,1,16.0000,0.643500,1780809483932000000,0.643500,0.962570,0.319070,wide,16.0000,16.0000,1.000000,1.000000
v31,#1670,bucket,sell,1780809485337000000,2,45.0000,0.624000,1780809484992000000,0.624000,0.962570,0.338570,wide,24.0000,24.0000,1.875000,1.875000
v31,#1670,bucket,sell,1780809486490000000,1,3.0000,0.600000,1780809486126000000,0.600000,0.962560,0.362560,wide,250.0000,250.0000,0.012000,0.012000
v31,#1670,bucket,buy,1780810190542000000,1,413.0000,0.946750,1780810190067000000,0.785380,0.946750,0.161370,wide,413.0000,413.0000,1.000000,1.000000
v31,#1670,bucket,sell,1780810231488000000,1,16.0000,0.974680,1780810231286000000,0.974680,nan,nan,unknown,16.0000,16.0000,1.000000,1.000000
v31,#1670,bucket,sell,1780811098319000000,1,397.0000,0.970000,1780811098114000000,0.970000,nan,nan,unknown,515.0000,515.0000,0.770874,0.770874
v31,#2200,binary,buy,1780874380326000000,1,143.0000,0.857290,1780874379859000000,0.851500,0.857290,0.005790,tight,143.0000,143.0000,1.000000,1.000000
v31,#2200,binary,buy,1780874386600000000,1,142.0000,0.859030,1780874386378000000,0.853140,0.859030,0.005890,tight,142.0000,142.0000,1.000000,1.000000
v31,#2200,binary,buy,1780874388085000000,1,142.0000,0.859340,1780874388009000000,0.853140,0.859340,0.006200,tight,142.0000,142.0000,1.000000,1.000000
v31,#2200,binary,buy,1780874391197000000,1,142.0000,0.859360,1780874390729000000,0.853140,0.859360,0.006220,tight,142.0000,142.0000,1.000000,1.000000
v31,#2200,binary,sell,1780876301537000000,2,569.0000,0.921000,1780876301271000000,0.921120,0.924870,0.003750,tight,502.0000,1342.0000,1.133466,0.423994
